# device=cuda  NVIDIA GeForce RTX 4070 Ti SUPER
# 데이터 320,007 위치 생성  (20.3s)
ep   1  val_mse=2.05014  best=2.05014 *best
ep   2  val_mse=2.00006  best=2.00006 *best
ep   3  val_mse=1.95411  best=1.95411 *best
ep   4  val_mse=1.91198  best=1.91198 *best
ep   5  val_mse=1.87350  best=1.87350 *best
ep   6  val_mse=1.83835  best=1.83835 *best
ep   7  val_mse=1.80637  best=1.80637 *best
ep   8  val_mse=1.77747  best=1.77747 *best
ep   9  val_mse=1.75134  best=1.75134 *best
ep  10  val_mse=1.72786  best=1.72786 *best
ep  11  val_mse=1.70684  best=1.70684 *best
ep  12  val_mse=1.68813  best=1.68813 *best
ep  13  val_mse=1.67145  best=1.67145 *best
ep  14  val_mse=1.65667  best=1.65667 *best
ep  15  val_mse=1.64370  best=1.64370 *best
ep  16  val_mse=1.63228  best=1.63228 *best
ep  17  val_mse=1.62236  best=1.62236 *best
ep  18  val_mse=1.61364  best=1.61364 *best
ep  19  val_mse=1.60616  best=1.60616 *best
ep  20  val_mse=1.59970  best=1.59970 *best
ep  21  val_mse=1.59416  best=1.59416 *best
ep  22  val_mse=1.58949  best=1.58949 *best
ep  23  val_mse=1.58545  best=1.58545 *best
ep  24  val_mse=1.58205  best=1.58205 *best
ep  25  val_mse=1.57920  best=1.57920 *best
ep  26  val_mse=1.57686  best=1.57686 *best
ep  27  val_mse=1.57490  best=1.57490 *best
ep  28  val_mse=1.57327  best=1.57327 *best
ep  29  val_mse=1.57187  best=1.57187 *best
ep  30  val_mse=1.57077  best=1.57077 *best
ep  31  val_mse=1.56986  best=1.56986 *best
ep  32  val_mse=1.56915  best=1.56915 *best
ep  33  val_mse=1.56852  best=1.56852 *best
ep  34  val_mse=0.91024  best=0.91024 *best
ep  35  val_mse=0.78966  best=0.78966 *best
ep  36  val_mse=0.73690  best=0.73690 *best
ep  37  val_mse=0.69088  best=0.69088 *best
ep  38  val_mse=0.65314  best=0.65314 *best
ep  39  val_mse=0.61828  best=0.61828 *best
ep  40  val_mse=0.58780  best=0.58780 *best
ep  41  val_mse=0.56061  best=0.56061 *best
ep  42  val_mse=0.53460  best=0.53460 *best
ep  43  val_mse=0.51278  best=0.51278 *best
ep  44  val_mse=0.49057  best=0.49057 *best
ep  45  val_mse=0.47051  best=0.47051 *best
ep  46  val_mse=0.45249  best=0.45249 *best
ep  47  val_mse=0.43521  best=0.43521 *best
ep  48  val_mse=0.41923  best=0.41923 *best
ep  49  val_mse=0.40529  best=0.40529 *best
ep  50  val_mse=0.39050  best=0.39050 *best
ep  51  val_mse=0.37800  best=0.37800 *best
ep  52  val_mse=0.36549  best=0.36549 *best
ep  53  val_mse=0.35212  best=0.35212 *best
ep  54  val_mse=0.34058  best=0.34058 *best
ep  55  val_mse=0.32998  best=0.32998 *best
ep  56  val_mse=0.32330  best=0.32330 *best
ep  57  val_mse=0.30980  best=0.30980 *best
ep  58  val_mse=0.30023  best=0.30023 *best
ep  59  val_mse=0.29224  best=0.29224 *best
ep  60  val_mse=0.28328  best=0.28328 *best
ep  61  val_mse=0.27498  best=0.27498 *best
ep  62  val_mse=0.26707  best=0.26707 *best
ep  63  val_mse=0.25963  best=0.25963 *best
ep  64  val_mse=0.25407  best=0.25407 *best
ep  65  val_mse=0.24722  best=0.24722 *best
ep  66  val_mse=0.23908  best=0.23908 *best
ep  67  val_mse=0.23281  best=0.23281 *best
ep  68  val_mse=0.22802  best=0.22802 *best
ep  69  val_mse=0.22101  best=0.22101 *best
ep  70  val_mse=0.21555  best=0.21555 *best
ep  71  val_mse=0.21043  best=0.21043 *best
ep  72  val_mse=0.20492  best=0.20492 *best
ep  73  val_mse=0.19976  best=0.19976 *best
ep  74  val_mse=0.19547  best=0.19547 *best
ep  75  val_mse=0.19013  best=0.19013 *best
ep  76  val_mse=0.18768  best=0.18768 *best
ep  77  val_mse=0.18292  best=0.18292 *best
ep  78  val_mse=0.17930  best=0.17930 *best
ep  79  val_mse=0.17348  best=0.17348 *best
ep  80  val_mse=0.17062  best=0.17062 *best
ep  81  val_mse=0.16716  best=0.16716 *best
ep  82  val_mse=0.16254  best=0.16254 *best
ep  83  val_mse=0.15819  best=0.15819 *best
ep  84  val_mse=0.15473  best=0.15473 *best
ep  85  val_mse=0.15213  best=0.15213 *best
ep  86  val_mse=0.14783  best=0.14783 *best
ep  87  val_mse=0.14502  best=0.14502 *best
ep  88  val_mse=0.14175  best=0.14175 *best
ep  89  val_mse=0.14069  best=0.14069 *best
ep  90  val_mse=0.13911  best=0.13911 *best
ep  91  val_mse=0.13388  best=0.13388 *best
ep  92  val_mse=0.13051  best=0.13051 *best
ep  93  val_mse=0.12783  best=0.12783 *best
ep  94  val_mse=0.12590  best=0.12590 *best
ep  95  val_mse=0.12359  best=0.12359 *best
ep  96  val_mse=0.12115  best=0.12115 *best
ep  97  val_mse=0.11841  best=0.11841 *best
ep  98  val_mse=0.11600  best=0.11600 *best
ep  99  val_mse=0.11499  best=0.11499 *best
ep 100  val_mse=0.11258  best=0.11258 *best
ep 101  val_mse=0.11011  best=0.11011 *best
ep 102  val_mse=0.10939  best=0.10939 *best
ep 103  val_mse=0.10618  best=0.10618 *best
ep 104  val_mse=0.10430  best=0.10430 *best
ep 105  val_mse=0.10341  best=0.10341 *best
ep 106  val_mse=0.10078  best=0.10078 *best
ep 107  val_mse=0.09915  best=0.09915 *best
ep 108  val_mse=0.09885  best=0.09885 *best
ep 110  val_mse=0.09429  best=0.09429 *best
ep 111  val_mse=0.09259  best=0.09259 *best
ep 112  val_mse=0.09217  best=0.09217 *best
ep 113  val_mse=0.08923  best=0.08923 *best
ep 114  val_mse=0.08835  best=0.08835 *best
ep 115  val_mse=0.08707  best=0.08707 *best
ep 116  val_mse=0.08621  best=0.08621 *best
ep 117  val_mse=0.08554  best=0.08554 *best
ep 118  val_mse=0.08262  best=0.08262 *best
ep 119  val_mse=0.08192  best=0.08192 *best
ep 120  val_mse=0.08525  best=0.08192
# 벤치마크 vs bot_strong (랜덤 60판, 학습 미사용 맵)...
# vs_strong 승/무/패 = 29/2/29   승률 = 50.0%
# 가중치 -> nnue_weights.txt  (val_mse=0.08192)
